"행정구역","2015년01월_남자인구수","2015년01월_여자인구수","2015년01월_계","2015년02월_남자인구수","2015년02월_여자인구수","2015년02월_계","2015년03월_남자인구수","2015년03월_여자인구수","2015년03월_계","2015년04월_남자인구수","2015년04월_여자인구수","2015년04월_계","2015년05월_남자인구수","2015년05월_여자인구수","2015년05월_계","2015년06월_남자인구수","2015년06월_여자인구수","2015년06월_계","2015년07월_남자인구수","2015년07월_여자인구수","2015년07월_계","2015년08월_남자인구수","2015년08월_여자인구수","2015년08월_계","2015년09월_남자인구수","2015년09월_여자인구수","2015년09월_계","2015년10월_남자인구수","2015년10월_여자인구수","2015년10월_계","2015년11월_남자인구수","2015년11월_여자인구수","2015년11월_계","2015년12월_남자인구수","2015년12월_여자인구수","2015년12월_계"
"전국  (1000000000)","18,821","17,966","36,787","18,232","17,568","35,800","21,210","20,166","41,376","19,723","18,497","38,220","19,199","17,938","37,137","19,052","18,236","37,288","18,912","17,822","36,734","18,442","17,426","35,868","17,888","16,838","34,726","20,206","19,143","39,349","17,717","17,130","34,847","18,310","17,656","35,966"
"서울특별시  (1100000000)","3,575","3,401","6,976","3,493","3,280","6,773","3,919","3,781","7,700","3,791","3,487","7,278","3,716","3,404","7,120","3,584","3,536","7,120","3,635","3,458","7,093","3,417","3,327","6,744","3,396","3,175","6,571","3,724","3,683","7,407","3,353","3,206","6,559","3,439","3,404","6,843"
"부산광역시  (2600000000)","1,117","1,044","2,161","1,094","1,046","2,140","1,269","1,234","2,503","1,125","1,178","2,303","1,226","1,029","2,255","1,103","1,083","2,186","1,147","1,071","2,218","1,151","1,031","2,182","1,161","1,047","2,208","1,258","1,144","2,402","1,113","1,030","2,143","1,173","1,105","2,278"
"대구광역시  (2700000000)","821","834","1,655","800","744","1,544","963","896","1,859","879","857","1,736","872","810","1,682","851","774","1,625","817","744","1,561","833","814","1,647","843","697","1,540","859","839","1,698","781","712","1,493","833","792","1,625"
"인천광역시  (2800000000)","1,065","959","2,024","1,115","1,069","2,184","1,169","1,152","2,321","1,173","1,046","2,219","1,119","1,013","2,132","1,106","1,048","2,154","1,106","1,062","2,168","1,064","1,013","2,077","1,068","961","2,029","1,247","1,109","2,356","1,005","988","1,993","1,055","994","2,049"
"광주광역시  (2900000000)","603","521","1,124","572","506","1,078","565","552","1,117","569","522","1,091","514","502","1,016","538","515","1,053","521","481","1,002","528","508","1,036","518","449","967","597","575","1,172","491","470","961","515","502","1,017"
"대전광역시  (3000000000)","615","571","1,186","573","532","1,105","712","624","1,336","594","620","1,214","617","562","1,179","581","587","1,168","646","554","1,200","555","546","1,101","537","503","1,040","631","594","1,225","552","564","1,116","584","489","1,073"
"울산광역시  (3100000000)","516","454","970","496","453","949","595","541","1,136","529","478","1,007","533","459","992","491","498","989","529","467","996","509","489","998","476","449","925","509","497","1,006","439","455","894","527","467","994"
"세종특별자치시  (3600000000)","87","75","162","95","86","181","110","100","210","115","79","194","125","96","221","109","136","245","123","119","242","119","107","226","124","114","238","131","116","247","134","106","240","132","146","278"
"경기도  (4100000000)","4,859","4,660","9,519","4,641","4,567","9,208","5,615","5,203","10,818","5,083","4,804","9,887","4,885","4,701","9,586","4,992","4,704","9,696","4,884","4,546","9,430","4,824","4,612","9,436","4,608","4,437","9,045","5,223","4,975","10,198","4,533","4,538","9,071","4,653","4,581","9,234"
"강원도  (4200000000)","470","471","941","439","417","856","525","495","1,020","490","489","979","459","436","895","489","477","966","433","495","928","453","431","884","424","384","808","484","502","986","434","411","845","454","461","915"
"충청북도  (4300000000)","584","576","1,160","502","594","1,096","658","637","1,295","613","565","1,178","534","538","1,072","572","600","1,172","578","578","1,156","576","492","1,068","552","508","1,060","654","607","1,261","594","546","1,140","559","558","1,117"
"충청남도  (4400000000)","790","749","1,539","759","757","1,516","929","861","1,790","838","783","1,621","828","774","1,602","830","813","1,643","810","745","1,555","764","742","1,506","761","700","1,461","856","800","1,656","754","722","1,476","753","722","1,475"
"전라북도  (4500000000)","624","619","1,243","627","591","1,218","656","725","1,381","634","587","1,221","602","578","1,180","634","595","1,229","624","553","1,177","595","553","1,148","552","476","1,028","634","585","1,219","568","531","1,099","588","558","1,146"
"전라남도  (4600000000)","670","657","1,327","670","611","1,281","693","726","1,419","698","633","1,331","680","620","1,300","650","586","1,236","620","592","1,212","667","572","1,239","591","613","1,204","689","643","1,332","617","588","1,205","618","610","1,228"
"경상북도  (4700000000)","960","943","1,903","956","892","1,848","1,123","1,079","2,202","1,014","927","1,941","968","896","1,864","969","865","1,834","915","915","1,830","961","848","1,809","874","963","1,837","1,000","957","1,957","911","884","1,795","945","880","1,825"
"경상남도  (4800000000)","1,217","1,173","2,390","1,163","1,195","2,358","1,438","1,322","2,760","1,337","1,221","2,558","1,293","1,296","2,589","1,315","1,190","2,505","1,262","1,211","2,473","1,189","1,130","2,319","1,187","1,169","2,356","1,412","1,284","2,696","1,189","1,166","2,355","1,243","1,153","2,396"
"제주특별자치도  (5000000000)","248","259","507","237","228","465","271","238","509","241","221","462","228","224","452","238","229","467","262","231","493","237","211","448","216","193","409","298","233","531","249","213","462","239","234","473"
